group_id,long_weekend_date,long_weekend_days,strategy_weekend_days,cost_days
63695,2017-04-01,4,9,3
53481,2017-05-27,6,9,3
54305,2017-05-27,6,9,3
41766,2017-05-27,6,9,3
32196,2017-10-04,1,7,2
25423,2017-10-04,1,7,2
25705,2017-12-30,3,3,0
44047,2017-12-30,3,3,0
21406,2017-10-07,4,4,0
63785,2016-12-31,3,3,0
10206,2016-12-31,3,3,0
50170,2016-12-31,3,3,0
16879,2017-01-27,6,10,2
48758,2017-01-27,6,10,2
35554,2017-01-27,6,10,2
39125,2017-01-27,6,10,2
16050,2017-01-27,6,10,2
52192,2017-01-27,6,10,2
21969,2017-01-27,6,10,2
12436,2017-01-27,6,10,2
13894,2017-01-27,6,10,2
31982,2017-01-27,6,10,2
53664,2017-01-27,6,10,2
39320,2017-01-27,6,10,2
58928,2017-01-27,6,10,2
47108,2017-01-27,6,10,2
14386,2017-01-27,6,10,2
21973,2017-01-27,6,10,2
18217,2017-01-27,6,10,2
10170,2017-01-27,6,10,2
56676,2017-01-27,6,10,2
38056,2017-01-27,6,10,2
34653,2017-01-27,6,10,2
41843,2017-01-27,6,10,2
46221,2017-01-27,6,10,2
34545,2017-01-27,6,10,2
25652,2017-01-27,6,10,2
48429,2017-01-27,6,10,2
43222,2017-01-27,6,10,2
11658,2017-01-27,6,10,2
52995,2017-01-27,6,10,2
6399,2017-01-27,6,10,2
11402,2017-01-27,6,10,2
63540,2017-02-25,4,9,3
16428,2017-02-25,4,9,3
17230,2017-02-25,4,9,3
55972,2017-02-25,4,9,3
67340,2017-02-25,4,9,3
27579,2017-02-25,4,9,3
59069,2017-02-25,4,9,3
6688,2017-02-25,4,9,3
54665,2017-02-25,4,9,3
49649,2017-02-25,4,9,3
46901,2017-02-25,4,9,3
25300,2017-02-25,4,9,3
21421,2017-02-25,4,9,3
59171,2017-02-25,4,9,3
17066,2017-02-25,4,9,3
33422,2017-02-25,4,9,3
3473,2017-02-25,4,9,3
40053,2017-02-25,4,9,3
29718,2017-02-25,4,9,3
25179,2017-02-25,4,9,3
16543,2017-02-25,4,9,3
31564,2017-02-25,4,9,3
29338,2017-02-25,4,9,3
50390,2017-02-25,4,9,3
38303,2017-04-01,4,9,3
35027,2017-04-01,4,9,3
15573,2017-04-01,4,9,3
35742,2017-04-01,4,9,3
37517,2017-04-01,4,9,3
50350,2017-04-01,4,9,3
8679,2017-04-01,4,9,3
35429,2017-04-01,4,9,3
62979,2017-04-01,4,9,3
46707,2017-04-01,4,9,3
21271,2017-04-01,4,9,3
37721,2017-04-01,4,9,3
16658,2017-04-01,4,9,3
43991,2017-04-01,4,9,3
12565,2017-04-01,4,9,3
23869,2017-04-01,4,9,3
43916,2017-04-01,4,9,3
30886,2017-04-01,4,9,3
52866,2017-04-01,4,9,3
42624,2017-04-01,4,9,3
53610,2017-04-01,4,9,3
38869,2017-04-01,4,9,3
34639,2017-04-01,4,9,3
5109,2017-04-01,4,9,3
29306,2017-04-01,4,9,3
13245,2017-04-01,4,9,3
47395,2017-04-01,4,9,3
52677,2017-04-01,4,9,3
8021,2017-04-01,4,9,3
39091,2017-04-01,4,9,3
57929,2017-04-01,4,9,3
18685,2017-04-01,4,9,3
55980,2017-04-01,4,9,3
15262,2017-04-01,4,9,3
57181,2017-04-01,4,9,3
21392,2017-04-01,4,9,3
25049,2017-04-01,4,9,3
55883,2017-04-01,4,9,3
10444,2017-04-01,4,9,3
66302,2017-04-01,4,9,3
48698,2017-04-01,4,9,3
47048,2017-04-01,4,9,3
32447,2017-04-29,3,9,4
49934,2017-04-29,3,9,4
3413,2017-04-29,3,9,4
49767,2017-04-29,3,9,4
63949,2017-04-29,3,9,4
10609,2017-04-29,3,9,4
46541,2017-04-29,3,9,4
37659,2017-04-29,3,9,4
32868,2017-04-29,3,9,4
36889,2017-04-29,3,9,4
39431,2017-04-29,3,9,4
38638,2017-04-29,3,9,4
33433,2017-04-29,3,9,4
59343,2017-04-29,3,9,4
22402,2017-04-29,3,9,4
30164,2017-04-29,3,9,4
67367,2017-04-29,3,9,4
26352,2017-04-29,3,9,4
67559,2017-04-29,3,9,4
25789,2017-04-29,3,9,4
6856,2017-04-29,3,9,4
23626,2017-04-29,3,9,4
10393,2017-04-29,3,9,4
38415,2017-04-29,3,9,4
14321,2017-05-27,6,9,3
26168,2017-05-27,6,9,3
49690,2017-05-27,6,9,3
64036,2017-05-27,6,9,3
45253,2017-05-27,6,9,3
12374,2017-05-27,6,9,3
45036,2017-05-27,6,9,3
8504,2017-05-27,6,9,3
21094,2017-05-27,6,9,3
16250,2017-05-27,6,9,3
15594,2017-05-27,6,9,3
26787,2017-05-27,6,9,3
50857,2017-05-27,6,9,3
20332,2017-05-27,6,9,3
3012,2017-05-27,6,9,3
18913,2017-05-27,6,9,3
5279,2017-05-27,6,9,3
12961,2017-05-27,6,9,3
49131,2017-05-27,6,9,3
55956,2017-05-27,6,9,3
47384,2017-05-27,6,9,3
18087,2017-05-27,6,9,3
37462,2017-05-27,6,9,3
46635,2017-05-27,6,9,3
53738,2017-05-27,6,9,3
58020,2017-05-27,6,9,3
41112,2017-05-27,6,9,3
60486,2017-05-27,6,9,3
56474,2017-05-27,6,9,3
31259,2017-05-27,6,9,3
51355,2017-05-27,6,9,3
22138,2017-05-27,6,9,3
55681,2017-05-27,6,9,3
29436,2017-05-27,6,9,3
55796,2017-05-27,6,9,3
22800,2017-05-27,6,9,3
19960,2017-05-27,6,9,3
29750,2017-05-27,6,9,3
939,2017-05-27,6,9,3
17740,2017-05-27,6,9,3
25611,2017-05-27,6,9,3
16311,2017-05-27,6,9,3
39127,2017-05-27,6,9,3
43349,2017-05-27,6,9,3
49445,2017-05-27,6,9,3
66352,2017-05-27,6,9,3
56971,2017-05-27,6,9,3
65134,2017-05-27,6,9,3
45124,2017-05-27,6,9,3
63347,2017-05-27,6,9,3
45392,2017-05-27,6,9,3
46218,2017-05-27,6,9,3
52378,2017-05-27,6,9,3
62018,2017-05-27,6,9,3
20660,2017-05-27,6,9,3
42482,2017-05-27,6,9,3
6381,2017-05-27,6,9,3
64240,2017-05-27,6,9,3
66091,2017-05-27,6,9,3
47373,2017-05-27,6,9,3
20368,2017-05-27,6,9,3
60143,2017-05-27,6,9,3
5539,2017-05-27,6,9,3
32672,2017-05-27,6,9,3
56721,2017-05-27,6,9,3
67226,2017-05-27,6,9,3
44981,2017-05-27,6,9,3
53405,2017-05-27,6,9,3
2038,2017-05-27,6,9,3
55446,2017-05-27,6,9,3
49213,2017-05-27,6,9,3
36801,2017-05-27,6,9,3
3318,2017-05-27,6,9,3
5076,2017-05-27,6,9,3
64203,2017-05-27,6,9,3
10576,2017-05-27,6,9,3
62975,2017-05-27,6,9,3
62175,2017-05-27,6,9,3
12684,2017-05-27,6,9,3
4322,2017-05-27,6,9,3
33115,2017-05-27,6,9,3
36105,2017-05-27,6,9,3
52042,2017-05-27,6,9,3
55467,2017-05-27,6,9,3
62951,2017-05-27,6,9,3
55892,2017-05-27,6,9,3
23163,2017-05-27,6,9,3
12007,2017-05-27,6,9,3
35475,2017-05-27,6,9,3
59785,2017-05-27,6,9,3
24620,2017-05-27,6,9,3
34462,2017-05-27,6,9,3
3223,2017-05-27,6,9,3
52239,2017-05-27,6,9,3
66432,2017-05-27,6,9,3
47819,2017-10-04,1,7,2
22664,2017-10-04,1,7,2
66866,2017-10-04,1,7,2
19056,2017-10-04,1,7,2
42485,2017-10-04,1,7,2
41296,2017-10-04,1,7,2
63140,2017-10-04,1,7,2
59848,2017-10-04,1,7,2
1535,2017-10-04,1,7,2
49484,2017-10-04,1,7,2
56055,2017-10-04,1,7,2
55434,2017-10-04,1,7,2
22642,2017-10-04,1,7,2
58935,2017-10-04,1,7,2
59630,2017-10-04,1,7,2
44444,2017-10-04,1,7,2
51142,2017-10-04,1,7,2
64456,2017-10-04,1,7,2
65328,2017-10-04,1,7,2
47747,2017-10-04,1,7,2
10498,2017-10-04,1,7,2
4429,2017-10-04,1,7,2
37009,2017-10-04,1,7,2
56930,2017-10-04,1,7,2
811,2017-10-04,1,7,2
36682,2017-10-04,1,7,2
8486,2017-10-04,1,7,2
5140,2017-10-04,1,7,2
58187,2017-10-04,1,7,2
26471,2017-10-04,1,7,2
817,2017-10-04,1,7,2
41732,2017-10-04,1,7,2
31696,2017-10-04,1,7,2
50600,2017-10-04,1,7,2
19431,2017-10-04,1,7,2
47638,2017-10-04,1,7,2
43563,2017-10-04,1,7,2
21197,2017-10-04,1,7,2
68410,2017-10-04,1,7,2
534,2017-10-04,1,7,2
54433,2017-10-04,1,7,2
42365,2017-10-04,1,7,2
2129,2017-10-04,1,7,2
53272,2017-10-04,1,7,2
13888,2017-10-04,1,7,2
57158,2017-10-04,1,7,2
30235,2017-10-04,1,7,2
42011,2017-10-04,1,7,2
9514,2017-10-04,1,7,2
48132,2017-10-04,1,7,2
53119,2017-10-04,1,7,2
5817,2017-10-04,1,7,2
6786,2017-10-04,1,7,2
17705,2017-10-04,1,7,2
55037,2017-10-04,1,7,2
38198,2017-10-04,1,7,2
30856,2017-10-04,1,7,2
56129,2017-10-04,1,7,2
32840,2017-10-04,1,7,2
61384,2017-10-04,1,7,2
5652,2017-10-04,1,7,2
41372,2017-10-04,1,7,2
41082,2017-10-04,1,7,2
56237,2017-12-30,3,3,0
39645,2017-12-30,3,3,0
13980,2017-12-30,3,3,0
38892,2017-12-30,3,3,0
49606,2017-12-30,3,3,0
37929,2017-12-30,3,3,0
30367,2017-12-30,3,3,0
27580,2017-12-30,3,3,0
14850,2017-12-30,3,3,0
50731,2017-12-30,3,3,0
63721,2017-12-30,3,3,0
45413,2017-12-30,3,3,0
62015,2017-12-30,3,3,0
16222,2017-12-30,3,3,0
5159,2017-12-30,3,3,0
42087,2017-12-30,3,3,0
67484,2017-12-30,3,3,0
61821,2017-12-30,3,3,0
59884,2017-12-30,3,3,0
67783,2017-12-30,3,3,0
20507,2017-12-30,3,3,0
43434,2017-12-30,3,3,0
45158,2017-12-30,3,3,0
42656,2017-12-30,3,3,0
46736,2017-12-30,3,3,0
36490,2017-12-30,3,3,0
51612,2017-12-30,3,3,0
34461,2017-12-30,3,3,0
9218,2017-10-07,4,4,0
37896,2017-10-07,4,4,0
42530,2017-10-07,4,4,0
17941,2017-10-07,4,4,0
4837,2017-10-07,4,4,0
24885,2017-10-07,4,4,0
35778,2017-10-07,4,4,0
54376,2017-10-07,4,4,0
20872,2017-10-07,4,4,0
9452,2017-10-07,4,4,0
48846,2017-10-07,4,4,0
43464,2017-10-07,4,4,0
21900,2017-10-07,4,4,0
13384,2017-10-07,4,4,0
12860,2017-10-07,4,4,0
18528,2017-10-07,4,4,0
57392,2017-12-30,3,3,0
11938,2017-12-30,3,3,0
57210,2017-12-30,3,3,0
18636,2017-12-30,3,3,0
9582,2017-12-30,3,3,0
6079,2017-12-30,3,3,0
50562,2017-12-30,3,3,0
51458,2017-12-30,3,3,0
33264,2017-12-30,3,3,0
30085,2017-12-30,3,3,0
49327,2017-12-30,3,3,0
17054,2017-12-30,3,3,0
43186,2017-12-30,3,3,0
64970,2017-12-30,3,3,0
9597,2017-12-30,3,3,0
37918,2017-12-30,3,3,0
52262,2017-12-30,3,3,0
64463,2017-10-04,1,7,2
25674,2017-10-04,1,7,2
53568,2017-10-04,1,7,2
36296,2017-10-07,4,4,0
8502,2017-10-07,4,4,0
34276,2017-10-07,4,4,0
39857,2017-10-07,4,4,0
43552,2017-10-07,4,4,0
2575,2017-10-07,4,4,0
57403,2017-10-07,4,4,0
59247,2017-10-07,4,4,0
5202,2017-10-07,4,4,0
25534,2017-10-07,4,4,0
29426,2017-10-07,4,4,0
38680,2017-10-07,4,4,0
12381,2017-10-07,4,4,0
16526,2017-10-07,4,4,0
8781,2017-10-07,4,4,0
13145,2017-10-07,4,4,0
23498,2017-10-07,4,4,0
733,2017-10-07,4,4,0
12017,2017-10-07,4,4,0
11910,2017-10-07,4,4,0
19964,2017-10-07,4,4,0
13171,2017-10-07,4,4,0
698,2017-01-27,6,10,2
20329,2017-02-25,4,9,3
4517,2017-02-25,4,9,3
35969,2017-04-01,4,9,3
59968,2017-04-01,4,9,3
49646,2017-04-01,4,9,3
63539,2017-04-01,4,9,3
29561,2017-05-27,6,9,3
60141,2017-05-27,6,9,3
27898,2017-05-27,6,9,3
37142,2017-05-27,6,9,3
55708,2017-05-27,6,9,3
44895,2017-05-27,6,9,3
23561,2017-05-27,6,9,3
52131,2017-05-27,6,9,3
23060,2017-10-04,1,7,2
34683,2017-10-04,1,7,2
8306,2017-10-04,1,7,2
4661,2017-10-04,1,7,2
42528,2017-12-30,3,3,0
48065,2017-12-30,3,3,0
52736,2017-12-30,3,3,0
2370,2017-10-07,4,4,0
31555,2016-12-31,3,3,0
48365,2017-01-27,6,10,2
61980,2017-01-27,6,10,2
11040,2017-01-27,6,10,2
16201,2017-01-27,6,10,2
67941,2017-01-27,6,10,2
29197,2017-01-27,6,10,2
30222,2017-01-27,6,10,2
54563,2017-01-27,6,10,2
43756,2017-01-27,6,10,2
27055,2017-01-27,6,10,2
66626,2017-02-25,4,9,3
5950,2017-02-25,4,9,3
42604,2017-04-29,3,9,4
8333,2017-05-27,6,9,3
6709,2017-05-27,6,9,3
43041,2017-05-27,6,9,3
8633,2017-05-27,6,9,3
34013,2017-05-27,6,9,3
40835,2017-05-27,6,9,3
14597,2017-05-27,6,9,3
29999,2017-10-04,1,7,2
18170,2017-10-04,1,7,2
64811,2017-10-04,1,7,2
31679,2017-10-04,1,7,2
3923,2017-10-04,1,7,2
64231,2017-12-30,3,3,0
8270,2017-10-07,4,4,0
9480,2017-12-30,3,3,0
30112,2017-01-27,6,10,2
960,2017-01-27,6,10,2
33350,2017-01-27,6,10,2
33498,2017-01-27,6,10,2
37254,2017-01-27,6,10,2
68485,2017-01-27,6,10,2
19348,2017-01-27,6,10,2
59571,2017-02-25,4,9,3
57637,2017-02-25,4,9,3
52587,2017-02-25,4,9,3
44423,2017-02-25,4,9,3
40129,2017-02-25,4,9,3
12985,2017-02-25,4,9,3
4737,2017-04-01,4,9,3
4630,2017-04-01,4,9,3
42683,2017-04-01,4,9,3
13170,2017-04-01,4,9,3
31607,2017-10-04,1,7,2
30590,2017-10-04,1,7,2
51546,2017-10-04,1,7,2
4442,2017-10-04,1,7,2
