group_id,long_weekend_days,strategy_weekend_days,cost_days,long_weekend_dist,days_weekenddays_diff,days_strategy_diff
63695,4,9,3,-10,8.0,3.0
53481,6,9,3,-10,6.0,3.0
54305,6,9,3,25,6.0,3.0
41766,6,9,3,46,6.0,3.0
32196,1,7,2,-56,11.0,5.0
25423,1,7,2,-7,11.0,5.0
25705,3,3,0,-17,9.0,9.0
44047,3,3,0,-38,9.0,9.0
21406,4,4,0,4,8.0,8.0
63785,3,3,0,7,7.0,7.0
10206,3,3,0,13,7.0,7.0
50170,3,3,0,13,7.0,7.0
16879,6,10,2,-13,1.0,-3.0
48758,6,10,2,-8,4.0,0.0
35554,6,10,2,-8,4.0,0.0
39125,6,10,2,-7,4.0,0.0
16050,6,10,2,-7,4.0,0.0
52192,6,10,2,-7,4.0,0.0
21969,6,10,2,-6,2.0,-2.0
12436,6,10,2,-6,1.0,-3.0
13894,6,10,2,-5,3.0,-1.0
31982,6,10,2,-4,1.0,-3.0
53664,6,10,2,-4,4.0,0.0
39320,6,10,2,-2,4.0,0.0
58928,6,10,2,-1,4.0,0.0
47108,6,10,2,-1,2.0,-2.0
14386,6,10,2,0,3.0,-1.0
21973,6,10,2,0,3.0,-1.0
18217,6,10,2,0,4.0,0.0
10170,6,10,2,1,4.0,0.0
56676,6,10,2,1,4.0,0.0
38056,6,10,2,1,4.0,0.0
34653,6,10,2,2,4.0,0.0
41843,6,10,2,2,4.0,0.0
46221,6,10,2,2,4.0,0.0
34545,6,10,2,7,4.0,0.0
25652,6,10,2,7,3.0,-1.0
48429,6,10,2,7,4.0,0.0
43222,6,10,2,8,1.0,-3.0
11658,6,10,2,8,4.0,0.0
52995,6,10,2,9,3.0,-1.0
6399,6,10,2,13,4.0,0.0
11402,6,10,2,14,4.0,0.0
63540,4,9,3,-14,6.0,1.0
16428,4,9,3,-14,3.0,-2.0
17230,4,9,3,-14,4.0,-1.0
55972,4,9,3,-8,6.0,1.0
67340,4,9,3,-7,3.0,-2.0
27579,4,9,3,-6,5.0,0.0
59069,4,9,3,-6,6.0,1.0
6688,4,9,3,-5,6.0,1.0
54665,4,9,3,-2,4.0,-1.0
49649,4,9,3,-1,5.0,0.0
46901,4,9,3,0,6.0,1.0
25300,4,9,3,0,3.0,-2.0
21421,4,9,3,0,3.0,-2.0
59171,4,9,3,6,6.0,1.0
17066,4,9,3,7,6.0,1.0
33422,4,9,3,12,3.0,-2.0
3473,4,9,3,12,4.0,-1.0
40053,4,9,3,13,3.0,-2.0
29718,4,9,3,13,6.0,1.0
25179,4,9,3,13,6.0,1.0
16543,4,9,3,14,6.0,1.0
31564,4,9,3,14,3.0,-2.0
29338,4,9,3,14,5.0,0.0
50390,4,9,3,16,4.0,-1.0
38303,4,9,3,-15,6.0,1.0
35027,4,9,3,-15,5.0,0.0
15573,4,9,3,-15,6.0,1.0
35742,4,9,3,-15,5.0,0.0
37517,4,9,3,-14,3.0,-2.0
50350,4,9,3,-14,3.0,-2.0
8679,4,9,3,-14,6.0,1.0
35429,4,9,3,-13,5.0,0.0
62979,4,9,3,-9,4.0,-1.0
46707,4,9,3,-8,3.0,-2.0
21271,4,9,3,-8,6.0,1.0
37721,4,9,3,-8,5.0,0.0
16658,4,9,3,-7,6.0,1.0
43991,4,9,3,-7,6.0,1.0
12565,4,9,3,-7,6.0,1.0
23869,4,9,3,-6,4.0,-1.0
43916,4,9,3,-5,6.0,1.0
30886,4,9,3,-1,6.0,1.0
52866,4,9,3,-1,5.0,0.0
42624,4,9,3,-1,6.0,1.0
53610,4,9,3,-1,3.0,-2.0
38869,4,9,3,0,3.0,-2.0
34639,4,9,3,0,3.0,-2.0
5109,4,9,3,0,3.0,-2.0
29306,4,9,3,0,6.0,1.0
13245,4,9,3,0,6.0,1.0
47395,4,9,3,0,6.0,1.0
52677,4,9,3,0,5.0,0.0
8021,4,9,3,0,5.0,0.0
39091,4,9,3,5,4.0,-1.0
57929,4,9,3,6,3.0,-2.0
18685,4,9,3,6,6.0,1.0
55980,4,9,3,7,6.0,1.0
15262,4,9,3,7,6.0,1.0
57181,4,9,3,7,6.0,1.0
21392,4,9,3,7,6.0,1.0
25049,4,9,3,12,4.0,-1.0
55883,4,9,3,13,6.0,1.0
10444,4,9,3,13,6.0,1.0
66302,4,9,3,14,5.0,0.0
48698,4,9,3,14,3.0,-2.0
47048,4,9,3,14,6.0,1.0
32447,3,9,4,-9,6.0,0.0
49934,3,9,4,-8,4.0,-2.0
3413,3,9,4,-7,7.0,1.0
49767,3,9,4,-7,7.0,1.0
63949,3,9,4,-7,7.0,1.0
10609,3,9,4,-7,6.0,0.0
46541,3,9,4,0,4.0,-2.0
37659,3,9,4,0,4.0,-2.0
32868,3,9,4,0,6.0,0.0
36889,3,9,4,0,7.0,1.0
39431,3,9,4,0,7.0,1.0
38638,3,9,4,1,7.0,1.0
33433,3,9,4,6,7.0,1.0
59343,3,9,4,7,7.0,1.0
22402,3,9,4,7,6.0,0.0
30164,3,9,4,7,7.0,1.0
67367,3,9,4,7,7.0,1.0
26352,3,9,4,12,7.0,1.0
67559,3,9,4,14,6.0,0.0
25789,3,9,4,14,7.0,1.0
6856,3,9,4,14,4.0,-2.0
23626,3,9,4,14,9.0,3.0
10393,3,9,4,14,4.0,-2.0
38415,3,9,4,14,7.0,1.0
14321,6,9,3,-13,3.0,0.0
26168,6,9,3,-9,4.0,1.0
49690,6,9,3,-8,1.0,-2.0
64036,6,9,3,-7,4.0,1.0
45253,6,9,3,-7,4.0,1.0
12374,6,9,3,-7,6.0,3.0
45036,6,9,3,-7,4.0,1.0
8504,6,9,3,-7,4.0,1.0
